DataPointNumber,DataSpectralPassBand,DataFluxPublishedValue,DataFluxPublishedStatErr,DataFluxPublishedUnit,DataSpectralValue,DataFluxValue,DataFluxStatErr,DataFluxUnit,DataRefcode,DataSignificance,DataSpectralPublishedValue,DataFrequencyMode,DataTargetPos,DataSpatialMode,DataQualifiers,DataComments
366,"33 GHZ (VSA)        ",26.98,," Jy                 ",3.3E10,27.0,,Jy,2009MNRAS.400..984D,no uncertainty reported,"        33 GHz       "," Broad-band measurement",12 29 05.6 +02 03 09 (J2000)," Flux integrated from map","                                        ",From new raw data
367,"31400 MHz           ",49.7,0.17,"Jy                  ",3.14E10,49.7,0.17,Jy,1981AJ.....86.1306G,uncertainty,"   31400   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
368,"31400 MHz           ",32.1,1.62,"Jy                  ",3.14E10,32.1,1.62,Jy,1980AJ.....85..351O,uncertainty,"   31400   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
369,"K (WMAP)            ",20.0,0.06," Jy                 ",2.3E10,20.0,0.06,Jy,2009ApJS..180..283W,uncertainty,"        23 GHz       "," Broad-band measurement",12 29 06 +02 03 00 (J2000)," Flux integrated from map","                                        ",From new raw data
370,"23 GHz (WMAP)       ",1184.0,174.0," milliJy            ",2.3E10,1.18,0.174,Jy,2009MNRAS.392..733M,uncertainty,"        23 GHz       "," Broad-band measurement",194.4829 -31.9295 (J2000)," Flux integrated from map","                                        ",From new raw data
371,"23 GHz (WMAP)       ",20.0,0.1,"Jy                  ",2.3E10,20.0,0.1,Jy,2003ApJS..148...97B,uncertainty,"      23   GHz       "," Broad-band measurement",122906.6 +020319 (J2000)," Flux integrated from map","                                        ",From new raw data
372,"22 GHz (VLA)        ",19460.0,185.0," milliJy            ",2.24E10,19.5,0.185,Jy,2008ApJ...678..712D,1 sigma,"      22.4 GHz       "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux integrated from map","Core flux                               ",From new raw data
373,"22 GHz              ",23.86,0.51,"Jy                  ",2.22E10,23.9,0.51,Jy,1992AJ....104.1009W,uncertainty,"   22      GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
374,"22 GHz              ",33.38,1.35,"Jy                  ",2.22E10,33.4,1.35,Jy,1992AJ....104.1009W,uncertainty,"   22      GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
375,"22 GHz              ",32.37,4.86,"Jy                  ",2.22E10,32.4,4.86,Jy,1978ApJ...224...22O,1 sigma,"      22   GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
376,"22185 MHz           ",32.37,4.86,"Jy                  ",2.22E10,32.4,4.86,Jy,1978ApJ...224...22O,uncertainty,"   22185   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
377,"22 GHz              ",42.67,1.76,"Jy                  ",2.2E10,42.7,1.76,Jy,1994MNRAS.267..167G,rms uncertainty,"22         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
378,"22 GHz              ",26.67,0.57,"Jy                  ",2.2E10,26.7,0.57,Jy,1994MNRAS.267..167G,rms uncertainty,"22         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
379,"22 GHz              ",43.46,1.13,"Jy                  ",2.2E10,43.5,1.13,Jy,1994MNRAS.267..167G,rms uncertainty,"22         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
380,"16.1 GHz (AMI)      ",29.2,," Jy                 ",1.61E10,29.2,,Jy,2009MNRAS.400..984D,no uncertainty reported,"      16.1 GHz       "," Broad-band measurement",12 29 05.6 +02 03 09 (J2000)," Flux integrated from map","                                        ",From new raw data
381,"15 GHz (VLBA)       ",22.78,,"Jy                  ",1.54E10,22.8,,Jy,2005AJ....130.1389L,no uncertainty reported,"  15.366   GHz       "," Broad-band measurement",12 29 06.6997 +02 03 08.5981 (J2000)," Total flux","                                        ",From new raw data
382,"15.1 GHz (VLBA)     ",21571.0,," milliJy            ",1.51E10,21.6,,Jy,2004ApJ...612..749Z,no uncertainty reported,"     15.1  GHz       "," Broad-band measurement",," Flux integrated from map","Core flux                               ",From new raw data
383,"15 GHz              ",34.63,1.73,"Jy                  ",1.51E10,34.6,1.73,Jy,1978ApJ...224...22O,1 sigma,"      15   GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
384,"15064 MHz           ",34.63,1.74,"Jy                  ",1.51E10,34.6,1.74,Jy,1978ApJ...224...22O,uncertainty,"   15064   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
385,"15 GHz (VLBA)       ",41.4,," Jy                 ",1.5E10,41.4,,Jy,2004ApJ...609..539K,no uncertainty reported,"        15 GHz       "," Broad-band measurement",," Total flux","                                        ",From new raw data
386,"15 GHz (VLBA)       ",41.399,," Jy                 ",1.5E10,41.4,,Jy,2008ApJ...674..111C,no uncertainty reported,"        15 GHz       "," Broad-band measurement",," Total flux","                                        ",Averaged from previously published data
387,"15 GHz (VLBA)       ",29.12,,"Jy                  ",1.5E10,29.1,,Jy,2005AJ....130.2473K,no uncertainty reported,"  15.366   GHz       "," Broad-band measurement",12 29 06.6997 +02 03 08.5982 (J2000)," Total flux","                                        ",From new raw data
388,"15 GHz (VLA)        ",33.0,3.3,Jy,1.5E10,33.0,3.3,Jy,1983ApJ...268...68L,uncertainty,"      15   GHz       "," Broad-band measurement",," Total flux","                                        ",From new raw data
389,"14.9 GHz (VLA)      ",24060.0,102.0," milliJy            ",1.49E10,24.1,0.102,Jy,2008ApJ...678..712D,1 sigma,"      14.9 GHz       "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux integrated from map","Core flux                               ",From new raw data
390,"14900 MHz           ",45.8,0.2,"Jy                  ",1.49E10,45.8,0.2,Jy,1976AJ.....81.1084G,uncertainty,"   14900   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
391,"14 GHz              ",31.35,0.59,"Jy                  ",1.4E10,31.4,0.59,Jy,1994MNRAS.267..167G,rms uncertainty,"14         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
392,"14 GHz              ",47.45,0.51,"Jy                  ",1.4E10,47.5,0.51,Jy,1994MNRAS.267..167G,rms uncertainty,"14         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
393,"14 GHz              ",47.56,0.42,"Jy                  ",1.4E10,47.6,0.42,Jy,1994MNRAS.267..167G,rms uncertainty,"14         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
394,"10695 MHz           ",45.1,0.39,"Jy                  ",1.07E10,45.1,0.39,Jy,1981A&AS...45..367K,uncertainty,"   10695   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","                                        ",From new raw data
395,"8870 MHz            ",46.6,1.6,"Jy                  ",8.87E9,46.6,1.6,Jy,1973AuJPh..26...93S,uncertainty,"    8870   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
396,"8.6 GHz (ATCA)      ",32.53,," Jy                 ",8.6E9,32.5,,Jy,2003PASJ...55..351T,no uncertainty reported,"       8.6 GHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
397,"8.4 GHz (VLA)       ",41725.0,," milliJy            ",8.4E9,41.7,,Jy,2007ApJS..171...61H,no uncertainty reported,"       8.4 GHz       "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux integrated from map","                                        ",From new raw data
398,"8400 MHz            ",55.35,,"Jy                  ",8.4E9,55.4,,Jy,1990PKS90.C...0000W,no uncertainty reported,"    8400   MHz       "," Broad-band measurement",12 26 33.2 +02 19 43 (B1950)," Integrated from scans","                                        ",Homogenized from new and previously published data
399,"8.4 GHz (VLBI)      ",18.02,,"Jy                  ",8.4E9,18.0,,Jy,2009ApJ...707L..56K,no uncertainty reported,"       8.4 GHz       "," Broad-band measurement",12 29 06.6997 +02 03 08.5980 (J2000)," Total flux","                                        ",Averaged from previously published data
400,"8.1 GHz (VLBA)      ",26828.0,," milliJy            ",8.11E9,26.8,,Jy,2004ApJ...612..749Z,no uncertainty reported,"      8.11 GHz       "," Broad-band measurement",," Flux integrated from map","Core flux                               ",From new raw data
401,"8085 MHz            ",30.5,1.53,"Jy                  ",8.08E9,30.5,1.53,Jy,1980AJ.....85..351O,uncertainty,"    8085   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
402,"8 GHz               ",35.66,0.28,"Jy                  ",8.0E9,35.7,0.28,Jy,1994MNRAS.267..167G,rms uncertainty,"8          GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
403,"8 GHz               ",48.21,0.35,"Jy                  ",8.0E9,48.2,0.35,Jy,1994MNRAS.267..167G,rms uncertainty,"8          GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
404,"8 GHz               ",48.14,0.33,"Jy                  ",8.0E9,48.1,0.33,Jy,1994MNRAS.267..167G,rms uncertainty,"8          GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
405,"5009 MHz            ",41.13,0.53,"Jy                  ",5.01E9,41.1,0.53,Jy,1981A&AS...45..367K,uncertainty,"    5009   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","Recal. to Baars scale by factor of 1.03 ",Recalibrated data
406,"5 GHz (VLBA)        ",43.6,," Jy                 ",5.0E9,43.6,,Jy,2004ApJ...616..110H,no uncertainty reported,"         5 GHz       "," Broad-band measurement",," Total flux","                                        ",From new raw data
407,"5 GHz               ",35.41,0.32,"Jy                  ",5.0E9,35.4,0.32,Jy,1994MNRAS.267..167G,rms uncertainty,"5          GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
408,"5 GHz               ",38.41,0.35,"Jy                  ",5.0E9,38.4,0.35,Jy,1994MNRAS.267..167G,rms uncertainty,"5          GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
409,"5000 MHz            ",36.7,,"Jy                  ",5.0E9,36.7,,Jy,1990PKS90.C...0000W,no uncertainty reported,"    5000   MHz       "," Broad-band measurement",12 26 33.2 +02 19 43 (B1950)," Integrated from scans","                                        ",Homogenized from new and previously published data
410,"5000 MHz            ",44.59,2.23,"Jy                  ",5.0E9,44.6,2.23,Jy,1981A&AS...45..367K,uncertainty,"    5000   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper",Recal. to Baars scale by factor of 0.993,Recalibrated data
411,"5000 MHz            ",44.9,2.25,Jy,5.0E9,44.9,2.25,Jy,1969ApJ...157....1K,rms uncertainty,"5000       MHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
412,"5 GHz               ",38.77,0.35,"Jy                  ",5.0E9,38.8,0.35,Jy,1994MNRAS.267..167G,rms uncertainty,"5          GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
413,"4.9 GHz (VLA)       ",26.7,1.33,Jy,4.9E9,26.7,1.33,Jy,1983ApJ...268...68L,uncertainty,"     4.9   GHz       "," Broad-band measurement",," Total flux","Interpolated                            ",From new raw data
414,"4885 MHz            ",34.9,1.75,"Jy                  ",4.88E9,34.9,1.75,Jy,1980AJ.....85..351O,uncertainty,"    4885   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
415,"4.85 GHz            ",36923.0,99.0,"milliJy             ",4.85E9,36.9,0.099,Jy,1995ApJS...97..347G,rms noise,"4.85       GHz       "," Broad-band measurement",122905.6 +020309 (J2000)," Modelled datum","                                        ",From new raw data; Corrected for contaminating sources
416,"4.85 GHz            ",44.9,6.74,Jy,4.85E9,44.9,6.74,Jy,1991ApJS...75....1B,uncertainty,"4.85       GHz       "," Broad-band measurement",122633.1 +021927 (B1950)," Peak flux","                                        ",From new raw data; Corrected for contaminating sources
417,"4.85 GHz            ",43627.0,6105.0,"milliJy             ",4.85E9,43.6,6.11,Jy,1991ApJS...75.1011G,rms noise,"4.85       GHz       "," Broad-band measurement",122633.1 +021928 (B1950)," Modelled datum","                                        ",From new raw data; Corrected for contaminating sources
418,"4.8 GHz (ATCA)      ",31.95,," Jy                 ",4.8E9,32.0,,Jy,2003PASJ...55..351T,no uncertainty reported,"       4.8 GHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
419,"4775 MHz (NRAO)     ",5000.0,,"milliJy             ",4.78E9,5.0,,Jy,1986ApJS...61....1B,no uncertainty reported,"    4775   MHz       "," Broad-band measurement",12 29 06.2 +02 02 55 (J2000)," Flux integrated from map","S/N = 99.9                              ",From new raw data
420,"4.6 GHz             ",38.1,1.91,"Jy                  ",4.58E9,38.1,1.91,Jy,1978ApJ...224...22O,1 sigma,"     4.6   GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
421,"4585 MHz            ",41.15,2.06,"Jy                  ",4.58E9,41.1,2.06,Jy,1978ApJ...224...22O,uncertainty,"    4585   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
422,"2700 MHz            ",42.73,2.13,"Jy                  ",2.7E9,42.7,2.13,Jy,1981A&AS...45..367K,uncertainty,"    2700   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper",Recal. to Baars scale by factor of 1.022,Recalibrated data
423,"2700 MHz            ",40.9,,"Jy                  ",2.7E9,40.9,,Jy,1990PKS90.C...0000W,no uncertainty reported,"    2700   MHz       "," Broad-band measurement",12 26 33.2 +02 19 43 (B1950)," Integrated from scans","                                        ",Homogenized from new and previously published data
424,"2700 MHz            ",43.35,0.71,"Jy                  ",2.7E9,43.4,0.71,Jy,1975AuJPA..38....1W,uncertainty,"    2700   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
425,"2700 MHz            ",38.9,1.17,"Jy                  ",2.7E9,38.9,1.17,Jy,1971AuJPA..19....1W,uncertainty,"    2700   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
426,"2695 MHz            ",30.9,1.55,"Jy                  ",2.7E9,30.9,1.55,Jy,1980AJ.....85..351O,uncertainty,"    2695   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
427,"2695 MHz            ",41.8,2.09,Jy,2.7E9,41.8,2.09,Jy,1969ApJ...157....1K,rms uncertainty,"2695       MHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
428,"2.5 GHz (ATCA)      ",34.66,," Jy                 ",2.5E9,34.7,,Jy,2003PASJ...55..351T,no uncertainty reported,"       2.5 GHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
429,"1.5 GHz (VLA)       ",32.0,1.6,Jy,1.5E9,32.0,1.6,Jy,1983ApJ...268...68L,uncertainty,"     1.5   GHz       "," Broad-band measurement",," Total flux","                                        ",From new raw data
430,"1484 MHz            ",36.1,1.81,"Jy                  ",1.48E9,36.1,1.81,Jy,1980AJ.....85..351O,uncertainty,"    1484   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
431,"1410 MHz            ",45.17,1.07,"Jy                  ",1.41E9,45.2,1.07,Jy,1981A&AS...45..367K,uncertainty,"    1410   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper",Recal. to Baars scale by factor of 1.017,Recalibrated data
432,"1410 MHz            ",42.0,,"Jy                  ",1.41E9,42.0,,Jy,1990PKS90.C...0000W,no uncertainty reported,"    1410   MHz       "," Broad-band measurement",12 26 33.2 +02 19 43 (B1950)," Integrated from scans","                                        ",Homogenized from new and previously published data
433,"1.4GHz              ",54992.1,1900.3,"milliJy             ",1.4E9,55.0,1.9,Jy,1998AJ....115.1693C,uncertainty,"    1.40   GHz       "," Broad-band measurement",12 29 6.41 +02 03 5.1 (J2000)," Flux integrated from map","High peak                               ",From new raw data
434,"1400 MHz            ",41.28,1.23,"Jy                  ",1.4E9,41.3,1.23,Jy,1981A&AS...45..367K,uncertainty,"    1400   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper",Recal. to Baars scale by factor of 1.029,Recalibrated data
435,"1400 MHz            ",46.3,2.3,"Jy                  ",1.4E9,46.3,2.3,Jy,1981A&AS...45..367K,uncertainty,"    1400   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper",Recal. to Baars scale by factor of 1.029,Recalibrated data
